OBJECTID,GIS_ID,Highway,FromPoint,ToPoint,MaxSpeed,Source,LastEditDate,SHAPESTLength
4819,121,Richmond St,Plane Tree Drive ,A point 150 m north of Windermere Road,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:57+00,2016.93129180193
4820,122,River Rd,Veterans Memorial Parkway,East City Limits,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:57+00,210.939017788994
4821,125,Roxburgh Rd,Wellington Road,Castleton Road,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:57+00,464.066342707139
4822,126,Sandford St,Kilally Road,A point 300 m north of Toronado Place,40,Schedule 25,2024/05/28 12:58:29+00,624.013511887688
4823,127,Sarnia Rd,Hyde Park Road,Wonderland Road,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:57+00,2435.0276734843
4825,132,Southdale Rd E,Wharncliffe Rd S,A point 150 m west of Adelaide Street,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:58+00,3416.07868632088
4826,133,Southdale Rd W,Wickerson Road,Wharncliffe Rd S,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:58+00,7277.936741504
4827,136,Springbank Dr,A point 300 m east of Commissioners Road,50 m west of Quinella Dr,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:58+00,1416.40567410671
4828,137,Springbank Dr,A point 110 m west of Greenside Avenue,Horton Street,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:58+00,384.48435986802
4829,143,Sunningdale Rd E,Adelaide St N,A point 300m east of South Wenige Drive (east intersection),60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:58+00,1793.63946165026
4831,148,Trafalgar St,A point 100 m east of Hudson Drive,Crumlin Road,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:58+00,1176.27503126705
4833,156,Wellington Rd,A point 300 m south of Commissioners Road E,South end of Street,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:58+00,4071.30217673366
4834,157,Wellington Rd S,North end of Street,A point 50m south of Dingman Drive,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:34:58+00,1008.45256973139
