OBJECTID,GIS_ID,StreetName,StreetClassification,VolumeCount,TruckRoute,LastEditDate,ShapeSTLength
12505,2,Bradley Ave,Urban Thoroughfare,20000,24 hrs,2023/10/04 18:08:46+00,139.660334198045
12506,4,Bradley Ave,Urban Thoroughfare,25000,24 hrs,2023/10/04 18:08:46+00,82.0469167499303
12507,5,Old Victoria Rd,Rural Thoroughfare,100,24 hrs,2023/10/04 18:08:46+00,425.565618317825
12508,6,Crumlin Sdrd,Neighbourhood Street,100,None,2023/10/04 18:08:46+00,453.47035915204
12509,7,Willsie Brne,Rural Thoroughfare,100,None,2023/10/04 18:08:46+00,222.598277435684
12510,8,Bradish Rd,Rural Connector,200,24 hrs,2023/10/04 18:08:46+00,1423.9033405334
12511,9,Bradish Rd,Rural Connector,200,24 hrs,2023/10/04 18:08:46+00,385.887137957281
12512,10,Brady Dr,Rural Connector,200,24 hrs,2023/10/04 18:08:46+00,1226.4428586633
12513,11,Kerr Rd,Rural Connector,200,24 hrs,2023/10/04 18:08:46+00,131.474128628232
12514,12,Old Victoria Rd,Rural Thoroughfare,200,24 hrs,2023/10/04 18:08:46+00,1390.52662141091
12515,13,Old Victoria Rd,Rural Thoroughfare,200,24 hrs,2023/10/04 18:08:46+00,1327.90295488775
12516,14,Old Victoria Rd,Rural Thoroughfare,200,24 hrs,2023/10/04 18:08:46+00,1337.04467891264
12517,15,Westminster Dr,Rural Connector,200,24 hrs,2023/10/04 18:08:46+00,798.647801137429
12518,16,Crumlin Sdrd,Civic Boulevard,200,None,2023/10/04 18:08:46+00,1053.38523070448
12519,17,Kerr Rd,Rural Thoroughfare,200,None,2023/10/04 18:08:46+00,31.7105251964832
12520,18,Reagan Brne,Rural Connector,200,None,2023/10/04 18:08:46+00,532.458357440338
12521,19,Webber Brne,Rural Thoroughfare,200,None,2023/10/04 18:08:46+00,1908.66274574481
12522,20,Dingman Dr,Rural Thoroughfare,300,24 hrs,2023/10/04 18:08:46+00,1584.34485629942
12523,21,Old Victoria Rd,Rural Thoroughfare,300,24 hrs,2023/10/04 18:08:46+00,1391.53282229955
12524,22,Scotland Dr,Rural Connector,300,24 hrs,2023/10/04 18:08:46+00,612.798685257366
12525,23,Scotland Dr,Rural Connector,300,24 hrs,2023/10/04 18:08:46+00,2331.03037297438
12526,24,Scotland Dr,Rural Connector,300,24 hrs,2023/10/04 18:08:46+00,3031.79330548888
12527,25,Scotland Dr,Rural Connector,300,None,2023/10/04 18:08:46+00,1060.00493051625
12528,26,Dingman Dr,Rural Thoroughfare,400,24 hrs,2023/10/04 18:08:46+00,3037.96215541409
12529,27,Scotland Dr,Rural Connector,400,24 hrs,2023/10/04 18:08:46+00,1015.53844570583
12530,28,Scotland Dr,Rural Connector,400,24 hrs,2023/10/04 18:08:46+00,708.948180826296
12531,29,Castleton Rd,Neighbourhood Connector,500,24 hrs,2023/10/04 18:08:46+00,549.338076938578
12532,30,Decker Dr,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,1019.33250650045
12533,31,Glanworth Dr,Rural Thoroughfare,500,24 hrs,2023/10/04 18:08:46+00,584.25822456828
12534,32,Glanworth Dr,Rural Thoroughfare,500,24 hrs,2023/10/04 18:08:46+00,144.421388055202
12535,33,Harry White Dr,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,1267.93927304754
12536,34,Homewood Lane,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,844.848053693546
12537,35,Manning Dr,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,3044.86006572661
12538,36,Manning Dr,Rural Thoroughfare,500,24 hrs,2023/10/04 18:08:46+00,1568.48150030035
12539,37,Manning Dr,Rural Thoroughfare,500,24 hrs,2023/10/04 18:08:46+00,116.870549220238
12540,38,Morrison Rd,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,1366.08535073347
12541,39,Old Victoria Rd,Rural Thoroughfare,500,24 hrs,2023/10/04 18:08:46+00,1377.85680089097
12542,40,Pack Rd,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,977.187180707007
12543,41,Scotland Dr,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,3011.85039580676
12544,42,Westminster Dr,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,3028.66687805398
12545,43,White Oak Rd,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,791.743391249428
12546,44,White Oak Rd,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,250.42066279204
12547,45,Woodhull Rd,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,867.208581700302
12548,46,Woodhull Rd,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,2447.91709148735
12549,47,Woodhull Rd,Rural Connector,500,24 hrs,2023/10/04 18:08:46+00,1455.75239690431
12550,48,Chalkstone Dr,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,175.710668213657
12551,49,Edgevalley Rd,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,62.7976625394608
12552,50,Emery St E,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,420.152093073699
12553,51,Gatewood Rd,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,464.762622519965
12554,52,Hamlyn St,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,824.671373660964
12555,53,Hamlyn St,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,526.112556655396
12556,54,Kains Rd,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,356.03533458818
12557,55,Limberlost Rd,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,252.210489879033
12558,56,Longworth Rd,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,458.362895824728
12559,57,Mount Pleasant Ave,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,219.169969531412
12560,58,Preston St,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,264.455883542378
12561,59,Reagan Brne,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,774.46938717363
12562,60,Reardon Blvd,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,502.281851444892
12563,61,Regal Dr,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,164.0005931785
12564,62,Repton Ave,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,536.825001038371
12565,63,Riverbend Rd,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,624.6764426527
12566,64,Sandybrook Dr,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,270.457707888124
12567,65,Southminster Brne,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,668.645802399575
12568,66,Southminster Brne,Rural Thoroughfare,500,None,2023/10/04 18:08:46+00,2036.1174373115
12569,67,Taplow Rd,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,151.189269698491
12570,68,Webster St,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,729.118397462791
12571,69,Webster St,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,0.0263928020490436
12572,70,Westbury Ave,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,475.455196688829
12573,71,Westdel Brne,Neighbourhood Connector,500,None,2023/10/04 18:08:46+00,361.69031354617
12574,72,Whisperwood Ave,Neighbourhood Street,500,None,2023/10/04 18:08:46+00,1245.04058115187
12575,73,Glanworth Dr,Rural Thoroughfare,600,24 hrs,2023/10/04 18:08:46+00,260.344718766197
12576,74,Glanworth Dr,Rural Thoroughfare,600,24 hrs,2023/10/04 18:08:46+00,317.808687736769
12577,75,Manning Dr,Rural Connector,600,24 hrs,2023/10/04 18:08:46+00,3034.55961570916
12578,76,Westminster Dr,Rural Connector,600,24 hrs,2023/10/04 18:08:46+00,611.808452098244
12579,77,Sunningdale Rd E,Rural Connector,700,24 hrs,2023/10/04 18:08:46+00,973.80579351616
